keywords,sentiment_coeff,TFIDF
whence,1.2667895668750502,0.0
minutes,1.0939449477900671,0.0
stretched,-1.0529562388350182,0.0
legs,1.1552886875745112,0.0
front,1.2600148610706194,0.0
really,1.2989585143985207,0.0
obliged,1.1829891624997733,0.0
lie,1.058494593119393,0.0
helpless,1.4685302025332696,0.0
funny,1.5469591075712037,0.0
employed,-1.273208291499248,0.0
ended,1.2970882911028778,0.0
suppose,1.407166229832191,0.0
watching,1.4422025395049372,0.0
habits,1.2068687650115657,0.0
perhaps,1.262238752590119,0.0
unusual,-1.180330080823257,0.0
wonderful,1.4628792992465982,0.0
sympathy,1.1404805226530028,0.0
freemasonry,-1.2425420685397546,0.0
